2021-01-27 09:08:41.963 WARN  [OfficeProcessThread-0] o.jodconverter.office.OfficeProcess - Profile dir 'C:\Users\NEIL~1.XIA\AppData\Local\Temp\.jodconverter_socket_host-127.0.0.1_port-8100_tcpNoDelay-1' already exists; deleting
2021-01-27 09:08:46.003 WARN  [main] o.t.templatemode.TemplateMode - [THYMELEAF][main] Template Mode 'HTML5' is deprecated. Using Template Mode 'HTML' instead.
2021-01-27 09:20:26.854 WARN  [OfficeProcessThread-0] o.jodconverter.office.OfficeProcess - A process with acceptString 'socket,host=127.0.0.1,port=8100,tcpNoDelay=1;urp;StarOffice.ServiceManager' is already running; pid 47244
2021-01-27 09:20:28.464 WARN  [OfficeProcessThread-0] o.jodconverter.office.OfficeProcess - Profile dir 'C:\Users\NEIL~1.XIA\AppData\Local\Temp\.jodconverter_socket_host-127.0.0.1_port-8100_tcpNoDelay-1' already exists; deleting
2021-01-27 09:20:31.123 WARN  [main] o.t.templatemode.TemplateMode - [THYMELEAF][main] Template Mode 'HTML5' is deprecated. Using Template Mode 'HTML' instead.
2021-01-27 09:22:14.287 WARN  [main] o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'fillDataController': Unsatisfied dependency expressed through field 'fileService'; nested exception is org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'fileService': Unsatisfied dependency expressed through field 'converter'; nested exception is org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'localDocumentConverter' defined in class path resource [org/jodconverter/boot/autoconfigure/JodConverterLocalAutoConfiguration.class]: Unsatisfied dependency expressed through method 'localDocumentConverter' parameter 0; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'localOfficeManager' defined in class path resource [org/jodconverter/boot/autoconfigure/JodConverterLocalAutoConfiguration.class]: Bean instantiation via factory method failed; nested exception is org.springframework.beans.BeanInstantiationException: Failed to instantiate [org.jodconverter.office.OfficeManager]: Factory method 'localOfficeManager' threw exception; nested exception is java.lang.IllegalStateException: officeHome not set and could not be auto-detected
2021-01-27 09:23:05.294 WARN  [OfficeProcessThread-0] o.jodconverter.office.OfficeProcess - A process with acceptString 'socket,host=127.0.0.1,port=8100,tcpNoDelay=1;urp;StarOffice.ServiceManager' is already running; pid 47284
2021-01-27 09:23:06.917 WARN  [OfficeProcessThread-0] o.jodconverter.office.OfficeProcess - Profile dir 'C:\Users\NEIL~1.XIA\AppData\Local\Temp\.jodconverter_socket_host-127.0.0.1_port-8100_tcpNoDelay-1' already exists; deleting
2021-01-27 09:23:09.335 WARN  [main] o.t.templatemode.TemplateMode - [THYMELEAF][main] Template Mode 'HTML5' is deprecated. Using Template Mode 'HTML' instead.
2021-01-27 14:19:53.482 WARN  [OfficeProcessThread-0] o.jodconverter.office.OfficeProcess - A process with acceptString 'socket,host=127.0.0.1,port=8100,tcpNoDelay=1;urp;StarOffice.ServiceManager' is already running; pid 14852
2021-01-27 14:19:55.146 WARN  [OfficeProcessThread-0] o.jodconverter.office.OfficeProcess - Profile dir 'C:\Users\NEIL~1.XIA\AppData\Local\Temp\.jodconverter_socket_host-127.0.0.1_port-8100_tcpNoDelay-1' already exists; deleting
2021-01-27 14:19:57.813 WARN  [main] o.t.templatemode.TemplateMode - [THYMELEAF][main] Template Mode 'HTML5' is deprecated. Using Template Mode 'HTML' instead.
